num,id_unique,nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,propertytype,ratingprop,good_label,conve_label,impre_label,superb_label,propertylabel,reviewamount,randomrate,propertyaddress,longitude,latitude,landmarknear,,,
1226,41509,Wulan D.,8.5,03-Apr-21,,Sutan Raja Hotel and Convention Centre,0,0,0,1,0,0,0,0,HOTELS,8.2,0,1,0,0,Convenient,1786,1,"Jl. Raya Soreang No.10 KM.17 Soreang, Soreang, Bandung, Jawa Barat, Indonesia, 40910",-7.0166924,107.5472021,Kawah Putih,,,
1864,42053,wan y. s.,8.5,03-Oct-17,"This is a well kept European style villa. We enjoy the stay and would like to thank you the great hospitality shown by Wanto, the owner of the villa. Thank you! Well done on the service provided.",Notes from the Mountains,0,0,0,0,0,0,0,1,VILLAS,8.7,0,0,1,0,Impressive,24,4,"Jalan Krisan No.1,RT 03 RW 010, Kavling Stroberi, Terusan Sersan Bajuri, Cihideung, Parongpong, Lembang, Bandung, Jawa Barat, Indonesia, 40558",-6.8122843,107.596327,Kawah Putih,,,
2236,55160,Umi N.,8.8,02-Dec-19,,Rumah Kiboku,0,0,1,0,0,0,0,0,GUEST HOUSES,8.7,0,0,1,0,Impressive,231,5,"Jalan Raya Dago Golf No. 2B, Dago Atas, Bandung, Jawa Barat, Indonesia, 40135",-6.866951,107.6247302,Taman Hutan Raya Juanda,,,
294,56784,Imelda G.,5.5,24-Oct-21,Bed sheet smell bad. Dirty bathroom.,The Summit Siliwangi Hotel,0,0,0,1,0,0,0,0,HOTELS,8.4,0,0,1,0,Impressive,747,5,"Jl. Seram No.5, Citarum, kec.Bandung Wetan,Kota Bandung, Jawa Barat, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9077896,107.6127927,Sate Building,,,
589,69212,Adhitya P.,6.3,01-Nov-21,"No signal, no wifi, dirty towel, no pillow cover __",Hotel Riau Bandung,0,0,1,0,0,0,0,0,GUEST HOUSES,7.9,0,1,0,0,Convenient,970,5,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Sate Building,,,
558,81015,Imelda L.,9.7,06-Jan-22,I stayed with my family here for 3 nights. We booked 1 family room and 1 deluxe king room. We really enjoyed our stay here. Both rooms were clean and spacious. The location's perfect. Will definitely stay here again in the future. Thanks Enreha Guest House :),ERENHA Guest House,0,0,1,0,0,0,0,0,GUEST HOUSES,8.9,0,0,1,0,Impressive,950,4,"Jalan Bengawan No.57, Bandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9103546,107.628399,Sate Building,,,
2469,81951,Dyah l.,8.5,13-Sep-19,,Zeva Villa Dago,0,0,0,0,0,0,0,1,VILLAS,8.4,0,0,1,0,Impressive,54,5,"Jalan Ranca kendal Raya No 175 Rt 05 Rw 01 Bandung, Dago Atas, Bandung, Jawa Barat, Indonesia, 40190",-6.872684,107.6278651,Taman Hutan Raya Juanda,,,
417,101841,suryo c.,9.7,30-Apr-19,Nice trip nice hotel. We are nice pleasure to stay here.,Sawunggaling Hotel,0,0,1,0,0,0,0,0,GUEST HOUSES,8.6,0,0,1,0,Impressive,1303,5,"Jl. Sawunggaling No. 13 Bandung , Dago, Bandung, Jawa Barat, Indonesia, 40106",-6.9008714,107.6094152,Sate Building,,,
2321,145612,Najia A. U.,9.4,18-Dec-19,"Everything is good but please install elevator,",The Regia Dago,0,0,0,1,0,0,0,0,HOTELS,8.5,0,0,1,0,Impressive,1094,5,"jl. dago 462 E - F, Dago Atas, Bandung, Jawa Barat, Indonesia, 40134",-6.8675192,107.6208951,Taman Hutan Raya Juanda,,,
768,190661,Waris S.,6,23-Jan-19,"The location is great but the hotel is dirty, spooky and so unfriendly. When I come to the hotel, at the front door is not clean and a lot of red ants spreading. In the room, the sheet is so...yellowish. the bath room so dusty.",De'Qur Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,7.6,0,1,0,0,Convenient,866,4,"Jalan Dipatiukur No.27, Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8955135,107.6163928,Geological Museum,,,
588,200713,Guest-7hj7z1,9,01-Nov-21,"Friendly staff, unfortunately the sound from nearby cafe is so loud, made me hard to get a nice sleep. Bathroom need some repairs.",Hotel Riau Bandung,0,0,1,0,0,0,0,0,GUEST HOUSES,7.9,0,1,0,0,Convenient,970,5,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Sate Building,,,
567,207912,Frassetiyo,10,26-Feb-22,,Hotel Neo Dipatiukur by ASTON,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,5055,4,"Jalan Dipatiukur No 72 - 74, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8895435,107.6164508,Sate Building,,,
2408,214591,Sih W. W.,8.5,18-Jan-16,Everything is perfect except the wifi. It was not working during our stay,4 BR City View Villa with a private pool 1,0,0,0,0,0,0,0,1,VILLAS,8.5,0,0,1,0,Impressive,31,5,"Jalan Bukit Cemara Hijau No. 19 Resort Dago Pakar, Dago, Bandung, Jawa Barat, Indonesia, 40134",-6.8616636,107.6503191,Taman Hutan Raya Juanda,,,
1998,254031,Pingkan N.,5.4,13-Jan-20,"Very bad, i’m so sorry, it’s terrible horror, the room is not clean enough, the curtain is torn, the bed will not made you slept well, especially for the toilet, it’s really dirty. The hotel should be renovated.",Hotel Istana Bandung,0,0,0,1,0,0,0,0,HOTELS,6.5,1,0,0,0,Good,1060,5,"Jalan Lembong No. 44, Braga, Bandung, Jawa Barat, Indonesia, 40110",-6.9178044,107.6121198,"Braga, Asia Afrika",,,
1661,254996,Yudi P.,10,05-Feb-20,Good hotel good views everything's good____,Saung Balibu Hotel,0,0,0,1,0,0,0,0,HOTELS,8.5,0,0,1,0,Impressive,1190,3,"Jalan Tangkuban Perahu No. 168 Cibogo - Cikole Lembang - Bandung, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8091287,107.6464558,Kawah Putih,,,
1798,269065,Yasinta N.,6,10-Feb-22,,Grand Hotel Lembang,0,0,0,1,0,0,0,0,HOTELS,7.8,0,1,0,0,Convenient,2816,5,"Jl. Raya Lembang No. 272, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.811868,107.616338,Kawah Putih,,,
1564,277580,Ricky A.,8.5,07-Jun-19,"Nice place, nice room. After my last visit for 20+ years ago, still had a good vibe. Food is good, but the pool need to be clean. Overal my family is happy, thank you!",Hotel & Banquet Panorama Lembang,0,0,0,1,0,0,0,0,HOTELS,8.3,0,0,1,0,Impressive,330,4,"Jalan Tangkuban Perahu No 29, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8105882,107.6244453,Kawah Putih,,,
2179,281563,Budi A. R.,6,15-Sep-20,Services and facilities are very poor. Parking is very narrow.,7 BR Hill View Villa with a private pool 1,0,0,0,0,0,0,0,1,VILLAS,8.9,0,0,1,0,Impressive,16,5,"Jalan Dago pakar Permai II no.53B Resort Dago Pakar, Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.8660319,107.635536,Taman Hutan Raya Juanda,,,
1744,283569,Ria P.,8.5,21-Aug-20,"Nice place for refreshing, recommended villa to stay with family.",Vila Istana Bunga - Arlen,0,0,0,0,0,0,0,1,VILLAS,8.3,0,0,1,0,Impressive,13,5,"Jl Kolonel Masturi km 9, Lembang, Parongpong, Bandung, Jawa Barat, Indonesia, 40558",-6.8028641,107.5829828,Kawah Putih,,,
1834,295222,Ziah U.,9.4,21-Oct-19,,Samakta Guest House,0,0,1,0,0,0,0,0,GUEST HOUSES,8.8,0,0,1,0,Impressive,362,5,"Jalan Hortikultura No.01 RT 01 RW 05 Desa Jayagiri Kecamatan Lembang, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8100346,107.6171406,Kawah Putih,,,
2588,307923,Fajar N.,8.8,28-Dec-20,,Concordia Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,8.4,0,0,1,0,Impressive,408,5,"Jalan Rancabentang No 2 Ciumbuleuit - Cidadap, Ciumbuleuit, Bandung, Jawa Barat, Indonesia, 40141",-6.8710311,107.6091051,Taman Hutan Raya Juanda,,,
1911,322549,Sapta s.,10,30-May-18,"Very friendly service, a quiet atmosphere both for family gatherings and good food.",Villa Rasberry Garden,0,0,0,0,0,0,0,1,VILLAS,8.6,0,0,1,0,Impressive,26,4,"Jalan Tangkuban Perahu No.156, Cibogo,Lembang, Lembang, Bandung, Jawa Barat, Indonesia",-6.8091341,107.6463993,Kawah Putih,,,
